"fat" "food.energy" "carbohydrates" "protein" "cholesterol" "weight" "saturated.fat"
"708" 1 60 13 4 0 155 0.2
"709" 0 20 3 3 0 170 0
"710" 0 30 7 1 0 150 0
"711" 0 35 8 1 0 146 0.1
"712" 0 35 8 1 0 146 0.1
"713" 0 55 12 2 0 146 0
"714" 0 70 16 2 0 156 0.1
"715" 0 45 11 1 0 110 0
"716" 0 35 7 3 0 180 0.1
"717" 0 30 6 2 0 125 0
"718" 0 25 5 2 0 100 0
"719" 0 20 4 1 0 120 0
"720" 1 40 6 2 2 188 0.2
"721" 1 65 2 11 43 85 0.3
"722" 0 0 0 0 0 180 0
"723" 0 0 1 0 0 182 0
"724" 1 60 12 5 0 170 0.1
"725" 0 25 5 2 0 190 0.1
"726" 0 80 18 2 0 137 0
"727" 0 100 21 3 0 142 0
"728" 1 35 7 2 0 105 0.1
"729" 0 25 6 1 0 96 0
"730" 0 85 22 0 0 190 0
"731" 0 70 17 2 0 120 0
"732" 0 100 26 0 0 187 0
"733" 0 40 10 1 0 120 0
"734" 0 40 10 1 0 120 0
"735" 4 95 7 8 26 142 1.2
"736" 0 45 12 1 0 129 0
"737" 0 115 26 3 0 150 0
"738" 1 40 7 4 0 130 0.1
"739" 1 40 7 2 0 130 0.1
"740" 0 50 11 3 0 165 0
"741" 0 80 21 0 0 185 0
"742" 0 20 4 2 0 163 0
"743" 0 20 3 1 0 135 0
"744" 0 75 20 0 0 185 0
"745" 1 190 39 7 0 130 0.1
"746" 1 155 32 5 0 140 0.1
"747" 0 115 24 4 0 105 0.1
"748" 0 35 8 3 0 156 0.1
"749" 1 40 8 3 0 156 0.1
"750" 0 20 3 3 0 140 0
"751" 1 65 16 1 0 136 0.1
"752" 2 105 18 4 0 177 0.3
"753" 0 25 6 2 0 85 0
"754" 0 20 4 1 0 184 0.1
"755" 0 55 12 2 0 160 0.1
"756" 0 60 13 2 0 210 0.1
"757" 0 40 8 1 0 115 0.1
"758" 0 60 15 1 0 131 0
"759" 0 85 21 2 0 180 0
"760" 0 65 17 1 0 140 0.1
"761" 0 125 30 2 0 156 0.1
"762" 0 35 10 1 0 87 0
"763" 0 75 19 1 0 170 0
"764" 1 100 25 1 0 166 0
"765" 1 85 21 1 0 141 0
"766" 0 65 11 5 0 160 0.1
"767" 0 125 23 8 0 160 0.1
"768" 0 90 23 0 0 187 0
"769" 1 75 19 1 0 155 0
"770" 0 120 31 0 0 133 0
"771" 0 55 14 0 0 95 0
"772" 0 70 18 0 0 95 0
"773" 0 145 34 3 0 156 0
"774" 0 120 27 3 0 136 0
"775" 0 115 27 2 0 135 0
"776" 4 150 25 4 15 130 2.4
"777" 4 155 27 4 14 130 2.3
"778" 4 155 27 4 15 132 2.3
"779" 4 145 25 4 15 130 2.3
"780" 4 145 25 4 15 130 2.3
"781" 4 150 27 4 15 130 2.2
"782" 1 60 14 1 0 123 0
"783" 0 25 6 2 0 135 0
"784" 0 25 6 2 0 135 0
"785" 0 25 6 2 0 135 0
"786" 0 25 6 2 0 135 0
"787" 0 35 8 2 0 135 0
"788" 0 35 8 2 0 135 0
"789" 0 45 10 2 0 125 0.1
"790" 0 45 10 2 0 125 0.1
"791" 1 190 39 7 0 130 0.1
"792" 1 155 32 5 0 140 0.1
"793" 0 55 10 6 0 190 0.1
"794" 0 40 7 5 0 180 0.1
"795" 1 35 8 2 0 180 0.1
"796" 1 80 18 2 0 205 0.3
"797" 1 45 10 1 0 149 0
"798" 0 115 28 2 0 114 0
"799" 0 160 37 2 0 151 0.1
"800" 3 145 29 1 8 105 1.4
"801" 0 35 9 1 0 84 0
"802" 0 0 0 0 0 240 0
"803" 0 0 1 0 0 241 0
"804" 5 85 3 9 0 120 0.7
"805" 1 40 8 1 0 189 0.3
"806" 0 25 5 1 0 123 0
"807" 1 50 8 5 0 164 0.2
"808" 0 30 6 2 0 144 0.1
"809" 0 30 8 1 0 156 0
"810" 0 75 15 4 0 163 0.1
"811" 0 70 17 1 0 140 0
"812" 1 50 11 1 0 160 0.1
"813" 0 140 8 0 0 103 0
"814" 0 75 3 0 0 102 0
"815" 0 80 3 0 0 102 0
"816" 18 365 32 19 30 255 7.4
"817" 11 220 15 16 71 245 4.4
"818" 5 150 0 24 164 85 1.2
"819" 7 185 7 23 410 85 2.5
"820" 30 515 39 21 42 210 7.9
"821" 5 135 0 22 52 75 1.9
"822" 12 205 0 23 62 85 4.9
"823" 9 150 0 17 49 61 3.6
"824" 26 315 0 19 72 85 10.8
"825" 6 150 0 22 64 72 2.6
"826" 15 240 0 23 77 85 6.4
"827" 10 185 0 22 80 85 4.2
"828" 8 175 0 25 75 78 2.7
"829" 13 220 0 25 81 85 4.8
"830" 9 170 0 19 66 62 3.9
"831" 26 325 0 22 87 85 10.8
"832" 4 145 0 24 46 72 1.8
"833" 7 465 59 41 83 120 4.3
"834" 17 305 23 16 53 279 9.3
"835" 15 300 28 15 44 112 7.3
"836" 18 280 26 5 170 92 9.9
"837" 34 470 12 27 221 245 12.9
"838" 18 365 26 22 103 240 5.1
"839" 10 255 10 31 75 250 4.1
"840" 11 235 0 31 88 142 3.1
"841" 18 365 13 35 119 140 4.9
"842" 11 195 6 16 62 72 3
"843" 9 220 2 31 87 98 2.4
"844" 7 120 1 13 44 49 1.8
"845" 3 140 0 27 73 86 0.9
"846" 2 75 0 12 41 44 0.7
"847" 9 250 0 38 116 140 2.6
"848" 16 340 31 19 28 255 5.8
"849" 17 300 13 26 68 250 4.3
"850" 2 85 2 13 54 85 0.5
"851" 10 235 6 28 34 225 6.4
"852" 9 215 6 26 31 210 6
"853" 8 280 30 22 25 226 4.9
"854" 4 205 8 31 19 226 2.8
"855" 1 125 3 25 10 145 0.4
"856" 3 135 1 23 135 135 0.5
"857" 17 330 36 9 169 152 5.6
"858" 15 305 29 14 278 265 6.8
"859" 25 445 0 52 197 221 9.2
"860" 19 340 34 10 149 254 11.3
"861" 7 90 1 6 211 46 1.9
"862" 5 75 1 6 213 50 1.6
"863" 5 75 1 6 212 50 1.5
"864" 7 100 1 7 215 61 2.2
"865" 5 75 1 6 213 50 1.6
"866" 5 60 0 3 213 17 1.6
"867" 16 235 24 20 19 230 7.7
"868" 18 360 31 18 213 138 8
"869" 19 340 25 17 74 252 11.6
"870" 27 470 41 18 91 170 6.3
"871" 23 420 39 16 56 140 6.3
"872" 6 120 0 16 68 85 3.2
"873" 6 120 0 16 55 85 1.2
"874" 1 80 0 17 59 85 0.3
"875" 16 230 0 21 74 85 6.2
"876" 18 245 0 20 76 85 6.9
"877" 9 175 7 17 75 85 2.4
"878" 6 140 0 20 62 85 3.3
"879" 21 445 38 25 71 174 7.1
"880" 13 190 0 17 85 85 4.3
"881" 23 375 38 7 153 173 13.5
"882" 7 130 0 15 50 57 3.2
"883" 26 315 0 18 77 85 12.1
"884" 7 135 0 17 59 48 2.9
"885" 15 220 0 20 77 63 6.9
"886" 6 140 0 19 60 64 2.6
"887" 16 235 0 22 78 80 7.3
"888" 6 140 0 20 65 73 2.4
"889" 13 205 0 22 78 85 5.6
"890" 22 430 40 17 44 200 9.8
"891" 13 470 65 29 0 276 1.8
"892" 0 245 35 24 12 68 0.3
"893" 1 325 47 32 17 91 0.4
"894" 11 185 7 16 66 85 2.6
"895" 4 160 8 20 120 240 1.4
"896" 30 455 4 42 79 100 19.1
"897" 9 290 39 15 56 120 4.1
"898" 8 165 0 23 71 72 2.6
"899" 19 275 0 24 84 87 7
"900" 11 180 0 19 72 67 3.7
"901" 27 335 0 21 92 89 9.8
"902" 8 160 0 20 68 72 2.7
"903" 18 250 0 21 79 85 6.4
"904" 10 175 0 20 56 71 3.4
"905" 20 270 0 21 69 85 7.2
"906" 8 165 0 22 76 67 2.8
"907" 22 295 0 23 93 85 7.9
"908" 7 140 0 18 35 85 2.4
"909" 4 105 0 17 37 68 1.3
"910" 14 205 0 18 53 85 5.1
"911" 21 360 28 7 170 250 3.6
"912" 19 325 28 12 56 245 11.6
"913" 19 340 13 28 76 246 12.1
"914" 32 430 7 28 124 246 20.4
"915" 13 345 34 22 55 150 3.5
"916" 5 140 0 21 60 85 1.2
"917" 5 120 0 17 34 85 0.9
"918" 8 150 0 18 51 85 2.6
"919" 9 175 0 20 85 85 2.1
"920" 10 195 10 15 70 90 2.5
"921" 2 80 7 16 0 28.35 0.8
"922" 1 100 1 21 128 85 0.2
"923" 10 200 11 16 168 85 2.5
"924" 10 235 19 20 0 180 1.3
"925" 12 330 39 19 89 248 3.9
"926" 18 220 3 11 184 136 7.1
"927" 9 175 0 21 71 85 4.1
"928" 19 375 19 33 80 205 3.3
"929" 7 165 0 24 55 85 1.4
"930" 1 135 0 30 48 85 0.3
"931" 5 130 3 18 45 85 1.6
"932" 6 160 0 24 72 85 2.1
"933" 3 135 0 25 59 85 0.9
"934" 7 240 0 41 106 140 2.3
"935" 4 145 0 25 65 85 1.4
"936" 9 185 0 23 86 85 4.1
"937" 14 230 0 23 109 85 6
"938" 328 6175 775 63 1183 1536 66
"939" 139 2710 351 20 46 910 90.1
"940" 136 3755 645 49 598 1107 55.6
"941" 228 5185 783 74 640 1361 47.6
"942" 190 2805 256 33 703 1188 118.3
"943" 129 4020 694 37 636 1096 41.6
"944" 148 4170 670 43 46 1140 33.1
"945" 125 3735 638 45 576 1108 47.8
"946" 175 3895 620 40 609 1108 92
"947" 213 3350 317 60 2053 1110 119.9
"948" 101 1985 213 56 1010 910 33.7
"949" 115 2155 254 38 476 1064 71.3
"950" 86 2140 317 31 857 840 26
"951" 18 3450 423 42 569 825 28.1
"952" 94 1935 257 26 1100 500 52
"953" 94 2025 265 33 555 514 21.1
"954" 10 1920 223 36 655 910 38.2
"955" 108 2830 434 35 552 777 29.5
"956" 218 1925 0 0 0 218 27.7
"957" 205 1810 0 0 0 205 51.3
"958" 205 1850 0 0 195 205 80.4
"959" 183 1625 1 2 0 227 31.3
"960" 216 1910 0 0 0 216 36.5
"961" 218 1925 0 0 0 218 19.8
